Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Philippines,PHL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,881.352.774.259.388,381.856.672.759.095,254.135.622.893.185,280.891.026.260.922,340.370.728.140.097,498.318.851.041.412,717.461.022.738.499,155.370.153.851.122,681.001.808.020.806,813.719.562.472.538,106.778.558.701.112,116.843.190.141.811,136.239.905.602.188,157.057.011.526.718,141.900.987.573.211,125.366.479.226.513,112.518.434.223.242,102.911.656.003.601,842.281.156.831.537,795.986.916.419.957,904.988.426.805.613
Palau,PLW,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,188.249.088.618.066,433.737.360.044.614,66.734.309.160.103,101.600.193.706.598,351.220.219.954.949,297.549.526.850.773,562.806.014.459.501,557.455.279.075.797,242.438.220.162.623,187.708.947.232.122,403.444.211.470.071,,,295.164.015.019.296,817.550.089.027.542,307.579.289.079.262,3.957.314.400.516,,,
Poland,POL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,11.879.849.220.991,533.083.664.138.351,162.883.556.357.479,356.427.384.822.913,697.957.750.188.174,857.151.732.599.382,154.467.720.439.732,210.173.607.822.431,96.868.354.959.651,128.779.249.316.825,145.974.152.360.482,13.933.593.006.343,121.616.986.346.675,140.787.279.418.994,107.209.640.425.335,110.305.019.661.145,971.003.914.332.144,12.961.600.053.884,929.857.987.889.921,845.460.341.187.559,139.193.051.083.977
Pre-demographic dividend,PRE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,PRI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. People's Rep.",PRK,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,468.651.065.366.607,224.384.526.445.125,167.364.481.969.764,144.658.677.248.616,195.989.513.179.605,181.116.998.037.224,316.335.616.116.652,571.326.324.902.295,288.168.472.233.201,182.981.482.648.748,225.318.816.156.527,145.422.088.214.625,122.262.656.256.012,172.116.088.747.718,203.585.298.448.465,,,,,,
Paraguay,PRY,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,161.256.028.010.482,130.623.395.235.942,,,,,,,,,,,,,,,,,,
West Bank and Gaza,PSE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,310.969.955.489.614,132.077.828.009.092,899.094.437.257.439,104.208.669.354.839,30.898.742.152.028,183.935.852.664.026,863.825.888.600.116,109.297.247.106.969,117.167.323.265.485,511.928.466.304.711,386.241.801.373.754,270.398.083.335.568,198.977.753.022.509,17.783.285.856.979,252.978.977.390.509,229.294.895.651.427,289.482.908.590.494,290.835.813.492.063,217.176.805.966.848,15.985.642.163.014,122.388.405.647.804
Pacific island small states,PSS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Post-demographic dividend,PST,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,166.165.810.549.084,123.113.715.593.415,952.376.983.853.889,867.028.704.746.852,954.783.562.533.118,117.785.399.234.421,141.678.130.884.902,190.158.248.707.583,177.526.817.883.516,135.446.250.232.623,135.922.502.972.318,138.481.200.427.438,109.567.133.421.396,11.529.404.815.889,127.419.251.853.137,156.589.734.295.643,155.146.982.599.368,149.039.337.501.056,127.071.698.065.696,93.618.110.108.058,
French Polynesia,PYF,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,340.889.775.327.037,375.603.258.981.499,418.031.292.020.887,258.891.889.006.871,147.068.101.103.346,136.543.366.537.628,103.889.290.488.843,103.481.376.284.483,265.388.854.574.706,149.327.109.147.828,124.931.615.588.635,113.782.003.052.776,103.526.711.148.325,756.425.928.939.779,160.474.698.549.815
Romania,ROU,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,151.716.318.714.133,258.694.651.325.963,310.427.525.177.069,381.757.151.584.846,110.465.461.134.295,14.438.870.871.797,131.503.938.751.388,159.638.549.114.604,571.601.415.075.407,947.506.321.360.708,986.659.015.690.784,152.125.843.092.446,111.967.152.698.985,782.151.667.870.219,776.476.214.103.233,989.117.071.105.077,928.842.436.113.168,111.891.103.568.099,100.069.847.212.673,814.488.063.931.702,116.701.162.748.569
Russian Federation,RUS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,919.814.401.218.018,137.978.208.762.292,185.252.417.602.361,2.008.296.920.529,193.563.490.016.175,588.574.937.616.118,982.548.203.877.637,695.435.740.931.097,417.447.108.226.047,332.380.149.412.365,270.895.617.186.058,15.410.799.134.314,102.731.965.648.571,776.692.309.375.927,860.419.459.391.463,109.320.100.681.738,924.372.633.174.652,887.996.501.076.785,106.738.969.675.095,185.251.092.943.824
Rwanda,RWA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,4.813.140.157.317,
South Asia,SAS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,878.730.101.524.143,411.220.529.109.653,371.096.615.217.005,452.461.912.327.499,573.998.270.224.069,59.407.268.800.238,647.962.457.148.143,804.761.350.661.093,72.067.725.568.435,647.842.700.202.362,534.058.725.656.668,339.144.196.910.521,289.265.892.133.117,248.096.000.349.863,307.370.138.508.122,342.978.486.055.336,311.501.330.576.201,405.878.980.483.202,420.979.107.569.193,396.739.685.598.832,626.833.478.085.545
Saudi Arabia,SAU,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,12.105.626.422.806,188.169.757.330.057,737.029.461.813.355,182.784.518.641.617,335.972.571.241.823,372.259.908.401.735,163.943.669.190.446,100.679.084.939.657,780.963.739.424.184,380.931.711.015.767,430.713.844.353.827,689.058.812.933.857,480.726.084.225.941,74.013.523.170.193,652.653.164.413.926,460.030.749.406.674,305.429.713.338.529,271.181.263.752.703,263.286.456.631.322,66.108.975.894.365
Sudan,SDN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Senegal,SEN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Singapore,SGP,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,990.388.688.764.998,791.742.721.076.343,681.315.326.623.136,966.103.481.449.236,96.330.244.814.786,912.490.947.896.208,12.506.757.914.138,210.724.566.424.922,13.068.480.421.522,130.739.958.273.732,127.517.426.235.546,983.282.451.184.942,883.611.306.943.815,906.231.153.362.574,637.122.303.941.191,642.959.075.754.037,589.450.646.090.542,63.975.911.240.496,582.496.495.084.731,303.059.444.828.744,
Solomon Islands,SLB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,SLE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
El Salvador,SLV,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
San Marino,SMR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Somalia,SOM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Serbia,SRB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,319.960.628.017.655,694.415.163.733.676,689.799.906.998.031,249.809.124.601.438,167.458.699.858.545,24.507.259.414.013,50.266.500.315.034,71.643.479.934.876,227.450.466.085.877,15.076.757.354.318,750.774.722.447.336,776.805.681.396.827,555.539.483.533.833,,,,,,,,
Sub-Saharan Africa (excluding high income),SSA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,13.135.355.340.694,,,186.034.142.431.921,209.852.098.685.037,277.426.118.707.665,,,,,,,,,,,,,,
South Sudan,SSD,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,SSF,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,13.135.355.340.694,,,186.034.142.431.921,209.852.098.685.037,277.426.118.707.665,,,,,,,,,,,,,,
Small states,SST,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,STP,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Suriname,SUR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,SVK,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,182.610.558.711.773,309.693.870.333.233,249.562.335.361.445,159.100.714.681.642,130.663.891.288.534,105.717.798.936.977,140.601.584.735.367,361.235.672.665.099,208.961.342.906.307,195.393.021.762.065,33.886.615.694.408,453.160.359.006.159,813.115.263.129.804,545.306.300.567.528,100.949.312.925.975,,,,,,
Slovenia,SVN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,314.870.243.771.827,46.257.216.977.996,39.443.351.551.673,168.802.036.037.317,224.107.171.121.495,131.482.294.008.466,26.756.383.955.293,610.929.637.599.806,242.440.637.130.893,204.252.771.521.064,100.406.071.187.476,992.752.195.856.142,858.585.116.774.804,852.162.344.389.594,147.176.281.788.664,845.629.992.591.771,683.031.215.831.212,824.930.218.285.298,692.283.887.839.832,275.972.052.701.595,860.319.362.956.245
Sweden,SWE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,14.422.037.855.803,123.714.740.677.702,695.402.724.686.671,593.522.632.049.171,804.428.257.881.969,,,,,,,,,,,,,,,,
Eswatini,SWZ,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,120.822.020.773.329,551.061.591.051.496,125.678.859.209.309,227.521.095.729.647,144.400.016.211.359,943.956.564.941.041,182.297.129.510.718,102.035.485.978.552,,,,,,,,,,,,,
Sint Maarten (Dutch part),SXM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,113.723.466.631.441,,,,,,
Syrian Arab Republic,SYR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,TCA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Chad,TCD,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,502.737.545.565.701,293.891.940.599.112,211.069.851.677.412,246.193.818.376.259,271.294.033.332.957,185.636.717.471.726,377.948.017.832.234,145.335.050.541.092,708.183.749.745.592,127.307.379.013.994,112.093.886.285.335,751.095.713.850.919,529.291.360.218.179,711.814.576.860.478,992.854.574.986.951,30.203.542.586.732,140.036.108.042.097,121.288.901.160.761,837.148.581.382.781,111.066.552.122.928,188.118.752.023.861
Europe & Central Asia (IDA & IBRD countries),TEC,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,132.224.241.973.538,130.486.003.237.923,165.619.065.101.734,195.101.375.923.782,206.326.629.101.015,394.278.971.991.542,605.084.459.069.358,411.974.376.144.047,321.817.598.742.719,290.768.656.768.236,240.401.767.101.589,177.246.072.973.739,152.578.325.586.209,139.608.007.104.328,160.626.785.786.506,149.986.500.982.955,167.090.534.580.167,155.618.100.288.436,151.853.791.416.481,365.953.077.347.577
Togo,TGO,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Thailand,THA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,152.945.485.964.603,258.119.198.383.125,307.372.467.108.224,686.559.343.033.359,676.343.540.069.004,474.438.863.034.028,437.456.556.564.903,4.288.050.679.741,363.979.762.898.303,449.473.491.190.677,652.090.184.472.391,580.529.297.337.632,600.796.014.700.991,832.461.694.134.727,762.607.539.501.485,676.100.749.304.968,786.224.475.173.535,743.998.380.581.553,762.781.325.709.414,674.855.803.462.121,961.718.486.232.344
Tajikistan,TJK,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,781.585.499.121.583,658.727.875.696.969,40.453.826.810.226,632.434.330.341.458,925.630.483.526.184,111.810.678.629.591,149.448.466.891.119,256.884.230.865.689,188.257.808.953.421,243.164.109.277.627,25.099.761.724.887,195.139.017.278.645,20.178.216.766.572,184.180.617.282.183,156.765.124.504.155,128.219.013.983.639,169.943.647.349.008,172.310.767.840.212,201.909.779.186.754,258.177.268.831.248,396.312.572.882.114
Timor-Leste,TLS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,365.752.747.606.907,,,,,356.837.446.067.489,,,,
Tonga,TON,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
South Asia (IDA & IBRD),TSA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,878.730.101.524.143,411.220.529.109.653,371.096.615.217.005,452.461.912.327.499,573.998.270.224.069,59.407.268.800.238,647.962.457.148.143,804.761.350.661.093,72.067.725.568.435,647.842.700.202.362,534.058.725.656.668,339.144.196.910.521,289.265.892.133.117,248.096.000.349.863,307.370.138.508.122,342.978.486.055.336,311.501.330.576.201,405.878.980.483.202,420.979.107.569.193,396.739.685.598.832,626.833.478.085.545
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,13.135.355.340.694,,,186.034.142.431.921,209.852.098.685.037,277.426.118.707.665,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,170.583.954.731.653,188.218.503.820.106,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,397.263.634.081.954,21.832.452.989.447,264.481.643.961.119,948.743.677.610.162,176.480.605.822.003,,,,,,
Turkiye,TUR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,60.507.167.569.529,325.545.365.675.719,282.920.172.223.854,311.917.338.721.164,35.845.956.852.824,39.447.244.793.999,406.533.707.055.008,476.723.287.770.924,287.151.377.097.009,481.633.892.437.114,519.002.702.070.299,430.474.685.063.279,407.613.446.011.468,39.074.051.107.723,393.792.865.783.157,404.580.657.015.945,324.035.055.784.721,439.241.607.277.089,475.043.681.763.658,457.445.701.920.614,120.590.364.006.252
Tuvalu,TUV,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Tanzania,TZA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,358.852.309.025.835,524.973.255.888.285,,,,,,,,,,,,,,,,,,,280.314.118.729.527
Uganda,UGA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Ukraine,UKR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,201.028.031.002.482,695.490.050.150.289,342.238.908.913.464,173.019.452.181.286,919.673.733.740.205,380.200.282.067.852,135.502.996.635.668,173.698.924.859.127,911.444.797.482.535,857.794.304.432.416,
Upper middle income,UMC,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,315.653.270.864.145,186.870.047.359.969,152.319.909.435.948,183.805.999.908.057,214.369.717.680.162,184.980.467.987.351,337.825.976.501.822,929.961.910.395.986,527.243.925.956.198,84.229.769.060.541,749.360.976.070.904,521.697.777.499.665,392.225.175.983.361,499.131.643.867.302,677.536.794.291.365,209.443.997.735.302,104.025.218.373.501,90.171.803.529.494,663.245.489.932.101,876.443.293.217.146,153.864.449.149.747
Uruguay,URY,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
United States,USA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,290.529.673.047.955,197.351.334.265.243,156.031.522.139.209,140.052.935.654.702,156.362.623.479.894,197.805.028.654.262,221.357.059.349.745,296.061.237.544.901,319.877.794.929.994,236.954.184.767.403,239.387.755.097.641,263.117.067.723.014,199.024.980.923.079,197.392.842.447.832,222.080.547.269.849,227.389.073.971.395,225.039.211.350.828,204.267.566.460.686,160.849.137.895.788,108.470.953.622.134,
Uzbekistan,UZB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
"Venezuela, RB",VEN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,186.296.699.717.747,933.195.285.276.781,955.932.504.777.487,,,,,,,,,,,,,,,,,,
British Virgin Islands,VGB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Vietnam,VNM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,102.407.333.896.951,311.368.295.674.762,20.962.119.779.808,667.690.580.256.713,,65.343.605.330.401,127.919.821.946.317,992.481.685.295.978,105.073.843.952.317,157.437.360.474.026,170.276.122.286.349,943.869.294.205.312,164.039.920.207.546
Vanuatu,VUT,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,144.382.299.756.288,103.531.377.645.582,8.185.207.393.861,757.058.749.933.878,834.207.990.019.869,99.398.673.664.172,117.953.154.913.035,161.056.010.477.694,139.613.892.982.689,116.490.110.005.518,111.716.572.822.689,104.458.720.411.763,818.326.464.631.189,874.454.542.154.041,999.487.043.551.233,157.035.834.011.218,122.972.503.679.648,115.297.987.240.061,954.909.641.246.233,837.968.506.465.896,
Samoa,WSM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Kosovo,XKX,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
South Africa,ZAF,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,464.583.673.338.542,261.111.599.203.531,36.941.096.216.706,249.005.018.395.032,327.467.127.359.085,385.343.954.620.195,571.778.028.283.362,773.768.285.630.104,640.991.526.947.329,659.624.156.364.548,664.225.726.772.517,492.866.091.436.734,522.246.236.949.784,579.342.835.927.176,644.536.590.951.353,674.882.586.068.665,124.368.552.638.774,107.410.830.267.145,729.941.742.470.807,733.059.791.629.469,870.305.475.401.757
Zambia,ZMB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,277.729.027.191.085,122.116.783.027.692,119.222.181.741.193,133.010.471.062.608,352.027.226.626.186,133.223.391.323.352,943.806.002.328.554,,,,988.376.364.144.178,873.845.847.162.129,713.639.841.660.283,,,,,,,,
Zimbabwe,ZWE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
