Year,ISO Code,Countries,Rank,Quartile,EFW,GovSize,PIB/capita,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk,FDI,Unemployment,CPI,STT,PoliticalStab,MCC,LDC
2015,MYS,Malaysia,48,2,7.51,6.49,"9.699,60",5.60,9.62,7.29,8.57,-0.04,0.09,3.3,3.1,50,29.1,0.26,127.1,892
2016,MYS,Malaysia,60,2,7.30,6.66,"9.555,60",5.63,8.36,7.33,8.54,0.06,0.06,4.5,3.4,49,27,0.14,119.4,893
2017,MYS,Malaysia,57,2,7.36,6.90,"9.979,70",5.72,8.25,7.58,8.38,0.00,0.12,2.9,3.4,47,30.1,0.12,142.8,894
2018,MYS,Malaysia,53,2,7.48,6.94,11.074,5.84,8.42,7.63,8.59,-0.09,0.09,2.3,3.3,47,34,0.25,110.9,902
2019,MYS,Malaysia,52,2,7.52,7.04,"11.132,10",5.83,8.41,7.63,8.67,-0.04,0.14,2.5,3.3,53,26.9,0.14,110.6,919
2020,MYS,Malaysia,49,2,7.35,7.12,10.160,5.88,8.32,6.97,8.47,-0.02,0.16,1.2,4.5,51,56.9,0.11,129.4,927
2000,IDN,Indonesia,84,3,6.09,8.11,770.9,3.33,6.40,7.04,5.61,-0.33,0.25,-2.8,6.1,17,48.1,-2,16.2,286
2001,IDN,Indonesia,93,4,5.82,8.08,739,3.22,6.12,7.10,4.59,0.06,0.26,-1.9,6.1,19,41.9,,14.3,315
2002,IDN,Indonesia,88,3,6.13,7.94,888.9,3.60,6.59,7.09,5.40,-0.14,0.28,0.1,6.6,19,41.2,-1.58,15.4,330
2003,IDN,Indonesia,78,3,6.41,7.75,"1.052,40",4.00,7.50,7.21,5.57,0.94,0.22,-0.3,6.7,19,23.3,-2.1,23.3,333
2004,IDN,Indonesia,82,3,6.32,7.63,"1.136,80",3.84,7.57,7.05,5.50,0.39,0.18,0.7,7.3,20,29.9,-1.91,28.5,331
2005,IDN,Indonesia,84,3,6.55,8.13,"1.249,40",3.96,7.50,6.87,6.31,0.18,0.17,2.9,7.9,22,34.2,-1.52,28.5,336
2006,IDN,Indonesia,82,3,6.59,8.15,"1.572,80",4.02,7.28,7.06,6.43,0.43,0.18,1.3,7.5,24,29,-1.42,38.1,344
2007,IDN,Indonesia,85,3,6.67,8.14,"1.840,30",4.13,7.66,6.93,6.47,0.50,0.19,1.6,8.1,23,44.8,-1.2,49,383
2008,IDN,Indonesia,87,3,6.63,8.01,"2.144,40",4.33,7.46,6.89,6.43,-0.49,0.34,1.8,7.2,26,76.8,-1.06,19.4,396
2009,IDN,Indonesia,84,3,6.68,8.12,"2.239,10",4.31,7.68,6.91,6.40,0.96,0.24,0.9,6.1,28,40,-0.75,39.8,398
2010,IDN,Indonesia,74,2,6.97,8.37,"3.094,40",4.27,8.95,6.86,6.43,0.31,0.19,2,5.6,28,29,-0.85,47.7,420
2011,IDN,Indonesia,80,3,6.94,8.28,"3.613,80",4.36,8.96,6.62,6.45,0.16,0.17,2.3,5.2,30,27,-0.77,43.7,440
2012,IDN,Indonesia,81,3,6.94,8.21,"3.668,20",4.42,8.94,6.65,6.46,0.13,0.12,2.3,4.5,32,21.5,-0.59,46.7,459
2013,IDN,Indonesia,83,3,6.96,8.22,"3.602,90",4.49,9.15,6.62,6.31,-0.01,0.16,2.6,4.3,32,28.5,-0.52,38,483
2014,IDN,Indonesia,80,2,7.06,8.22,"3.476,60",4.52,9.20,7.02,6.35,0.20,0.06,2.8,4,34,21.5,-0.42,47.4,506
2015,IDN,Indonesia,72,2,7.12,8.40,"3.322,60",4.63,9.29,6.86,6.43,-0.13,0.15,2.3,4.5,36,21.2,-0.62,41,521
2016,IDN,Indonesia,63,2,7.26,8.53,"3.558,80",4.90,9.53,6.87,6.50,0.15,0.09,0.5,4.3,37,21.2,-0.37,45.7,537
2017,IDN,Indonesia,61,2,7.28,8.51,"3.839,80",4.93,9.56,6.96,6.46,0.25,0.07,2,3.8,37,17.8,-0.5,51.3,566
2018,IDN,Indonesia,63,2,7.33,8.49,"3.902,70",4.92,9.65,7.02,6.55,-0.01,0.11,1.8,4.4,38,21.5,-0.55,46.7,619
2019,IDN,Indonesia,68,2,7.26,8.16,"4.151,20",4.90,9.66,7.02,6.58,-0.09,0.11,2.2,3.6,40,22.5,-0.49,46.8,668
2020,IDN,Indonesia,66,2,7.09,7.91,"3.895,60",4.90,9.58,6.60,6.46,-0.01,0.24,1.8,4.3,37,26.4,-0.45,46.8,713
